coverage_exit_status=0

  ...-edit-tool.ts |   76.92 |    66.66 |     100 |   76.92 | 10,15,24          
  ...-file-tool.ts |   78.94 |    61.53 |     100 |   78.94 | 14,19,31,39       
  run-lint-tool.ts |      50 |      100 |       0 |      50 | 9                 
  ...tests-tool.ts |      50 |      100 |       0 |      50 | 9                 
  ...check-tool.ts |      50 |      100 |       0 |      50 | 9                 
  sandbox-tools.ts |   86.36 |       80 |     100 |   88.37 | 42,68,184-186     
  ...files-tool.ts |   87.23 |    78.78 |     100 |   86.95 | 34,55,70,75,80,95 
  ...l-run-tool.ts |    9.09 |      100 |       0 |    9.09 | 14-35,46-52       
  ...t-run-tool.ts |     100 |     92.3 |     100 |     100 | 56,89             
  ...patch-tool.ts |     100 |    88.88 |     100 |     100 | 56-87             
  tool-assembly.ts |   78.26 |     62.5 |    87.5 |   78.94 | 128-129,137,145   
  ...-gate-tool.ts |     100 |      100 |     100 |     100 |                   
  ...-plan-tool.ts |     100 |     87.5 |     100 |     100 | 10                
  ...fetch-tool.ts |      96 |    83.33 |     100 |      96 | 49                
  ...earch-tool.ts |   80.95 |    55.55 |   83.33 |   80.95 | 21,38-40          
  ...-plan-tool.ts |   94.11 |       90 |     100 |   94.11 | 62,65             
  ...talog-tool.ts |      80 |       75 |     100 |      80 | 19,30,35,40,56    
  ...ollup-tool.ts |      80 |    84.61 |     100 |      80 | 18,27,32,46       
  ...eport-tool.ts |      75 |    72.09 |     100 |      75 | ...3,64,75,87,109 
 ...ime/transcript |     100 |      100 |     100 |     100 |                   
  ...transcript.ts |     100 |      100 |     100 |     100 |                   
 ...ime/validation |   94.83 |    92.25 |     100 |    95.3 |                   
  ...-validator.ts |   93.93 |    94.44 |     100 |   93.93 | 22,51             
  ...-validator.ts |     100 |      100 |     100 |     100 |                   
  ...mand-audit.ts |     100 |      100 |     100 |     100 |                   
  ...d-executor.ts |    90.9 |    85.71 |     100 |    93.1 | 45,121            
  ...mmand-gate.ts |     100 |      100 |     100 |     100 |                   
  ...and-runner.ts |   89.28 |       76 |     100 |   88.88 | 59,132,136        
  ...transcript.ts |     100 |      100 |     100 |     100 |                   
  ...t-redactor.ts |     100 |      100 |     100 |     100 |                   
 ...ntime/workflow |   95.51 |    86.55 |   98.24 |   95.23 |                   
  ...w-template.ts |     100 |      100 |     100 |     100 |                   
  ...t-workflow.ts |     100 |    76.92 |     100 |     100 | 61-62,86          
  ...e-manifest.ts |     100 |      100 |     100 |     100 |                   
